context,gold,pred0,pred1,pred2,pred3,pred4
"The first was that his father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that Ye Daying had his 18th birthday and became an adult . With the turn for the better in <anteced> his </anteced> father 's political circumstances ,",Ye Daying,he,he,he,he,he
"The first was that his father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that Ye Daying had <anteced> his </anteced> 18th birthday and became an adult . With the turn for the better in his father 's political circumstances ,",Ye Daying,he,he,he,he,he
"The first was that his father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that <anteced> Ye Daying </anteced> had his 18th birthday and became an adult . With the turn for the better in his father 's political circumstances ,",Ye Daying,he,he,he,he,he
"The first was that <anteced> his </anteced> father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that Ye Daying had his 18th birthday and became an adult . With the turn for the better in his father 's political circumstances , Ye Daying left behind",his,his,his,his,his,his
"The first was that his father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that Ye Daying had his 18th birthday and became an adult . With the turn for the better in his father 's political circumstances , <anteced> Ye Daying </anteced> left behind",his,his father,his,his,hisself,his
"The first was that his father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that Ye Daying had his 18th birthday and became an adult . With the turn for the better in <anteced> his </anteced> father 's political circumstances , Ye Daying left behind",his,his,his,his,his,his
"The first was that his father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that Ye Daying had <anteced> his </anteced> 18th birthday and became an adult . With the turn for the better in his father 's political circumstances , Ye Daying left behind",his,his,his,his,his,his
"The first was that his father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that <anteced> Ye Daying </anteced> had his 18th birthday and became an adult . With the turn for the better in his father 's political circumstances , Ye Daying left behind",his,his father's,him,his father's,his,his
"The second event was that Ye Daying had his 18th birthday and became an adult . With the turn for the better in his father 's political circumstances , Ye Daying left behind his violent life and changed suddenly , becoming more inward - looking . In <anteced> 1978 </anteced> the big news was that the college entrance exams would be reinstated nationwide , and people of Ye Daying 's age were thrilled . However , at",this time,the time,2007,the 4th anniversary of Ye Daying's death,the same time,the same time <anaphor>the semester
"In <anteced> 1978 </anteced> the big news was that the college entrance exams would be reinstated nationwide , and people of Ye Daying 's age were thrilled . However , at this time Ye Daying , facing this opportunity that would change his fortune , was at a loss as to what to do . You thought",those days,he,this,he,the plan,he
"In 1978 the big news was that the college entrance exams would be reinstated nationwide , and people of Ye Daying 's age were thrilled . However , at <anteced> this time </anteced> Ye Daying , facing this opportunity that would change his fortune , was at a loss as to what to do . You thought",those days,the whole city of Ye Daying,the branch's,he,this,the question
"In <anteced> 1978 </anteced> the big news was that the college entrance exams would be reinstated nationwide , and people of Ye Daying 's age were thrilled . However , at this time Ye Daying , facing this opportunity that would change his fortune , was at a loss as to what to do . You thought those days were pretty good , did you not think about getting into the university ? Oh my , in fact ,",'78,I,I,that,we,I
"In 1978 the big news was that the college entrance exams would be reinstated nationwide , and people of Ye Daying 's age were thrilled . However , at this time Ye Daying , facing this opportunity that would change his fortune , was at a loss as to what to do . You thought <anteced> those days </anteced> were pretty good , did you not think about getting into the university ? Oh my , in fact ,",'78,I,they,that period,they,they
"In 1978 the big news was that the college entrance exams would be reinstated nationwide , and people of Ye Daying 's age were thrilled . However , at <anteced> this time </anteced> Ye Daying , facing this opportunity that would change his fortune , was at a loss as to what to do . You thought those days were pretty good , did you not think about getting into the university ? Oh my , in fact ,",'78,this,I,I,that,that
"A lot of people were happy , very excited , because they reinstated the college entrance exams ; why were you feeling depressed ? Right , but the problem was , , Because , I had never done well in school . So right off I felt that I was finished , -- Those kids who were younger than us who had done well in school , , compared to me , <anteced> they </anteced> had a future , um ,",they,they,they,they,they,they
"Mm . So I was hopeless , right off I was feeling down . Very clearly a -- If you wanted to take the exams , what kind of score did you think you 'd get . I did n't take the exams , I did n't have the nerve , I did n't try , so -- , the extraordinary thing was , at that time <anteced> my mom </anteced> was attending the film institute ,",she,her,she,she,she,she
